Point_Count,System_Time_Unix
20544,1765435861.630750000
19968,1765435861.836930000
20064,1765435861.952060000
19968,1765435862.161550000
19968,1765435862.283940000
19968,1765435862.685440000
20160,1765435862.696470000
20064,1765435862.789730000
20064,1765435862.917250000
19968,1765435863.118500000
19968,1765435863.251600000
20064,1765435863.373990000
20064,1765435863.491510000
19968,1765435864.423990000
19968,1765435864.438890000
19968,1765435864.456000000
20064,1765435864.475590000
19968,1765435864.487520000
20064,1765435864.702870000
19872,1765435864.830550000
19968,1765435864.955470000
19968,1765435865.365980000
19968,1765435865.386800000
19968,1765435865.518320000
19968,1765435865.764380000
19968,1765435865.962070000
20064,1765435866.084320000
19968,1765435866.305560000
20064,1765435866.444840000
19968,1765435866.641470000
20064,1765435866.769650000
19968,1765435866.870720000
19968,1765435867.071320000
19680,1765435867.609320000
19968,1765435867.620730000
20064,1765435867.632830000
19968,1765435867.757550000
19968,1765435867.890250000
20064,1765435868.015460000
19968,1765435868.211480000
19968,1765435868.329850000
19968,1765435869.329490000
19968,1765435869.360610000
19968,1765435869.374210000
19968,1765435869.385910000
19968,1765435869.395890000
19872,1765435869.651190000
19872,1765435870.048650000
19776,1765435870.882200000
19968,1765435870.893410000
20064,1765435870.909710000
19968,1765435871.156720000
20064,1765435871.166340000
19968,1765435871.176980000
19968,1765435871.273520000
19968,1765435871.406390000
19968,1765435871.630250000
19968,1765435871.858890000
19968,1765435872.340200000
19968,1765435872.350340000
19968,1765435872.537480000
19968,1765435873.082080000
20064,1765435873.092490000
19968,1765435873.397880000
20064,1765435873.407650000
19968,1765435873.508420000
20064,1765435873.658470000
19968,1765435873.860520000
19968,1765435874.008410000
20064,1765435874.139180000
19968,1765435874.256300000
19968,1765435874.474560000
20064,1765435874.649640000
19968,1765435874.772180000
20064,1765435875.006180000
20064,1765435875.183020000
19968,1765435875.339740000
19968,1765435875.470320000
19968,1765435875.677390000
19968,1765435876.287990000
19968,1765435876.299420000
20064,1765435876.308010000
20064,1765435876.472880000
19968,1765435876.721150000
19872,1765435877.063320000
19968,1765435877.080730000
20064,1765435877.187060000
19968,1765435877.343170000
19968,1765435877.562760000
19968,1765435877.744620000
20064,1765435877.966590000
20064,1765435878.087030000
19968,1765435878.307060000
20064,1765435878.524590000
19680,1765435878.635100000
20064,1765435878.750770000
19968,1765435879.312290000
20064,1765435879.325960000
19968,1765435879.345770000
19968,1765435879.906990000
19968,1765435879.930330000
19968,1765435879.941630000
19968,1765435880.047130000
20640,1765435880.396110000
19968,1765435880.509010000
19968,1765435880.639560000
20064,1765435880.777550000
19968,1765435880.974420000
20064,1765435881.094590000
19968,1765435881.312290000
20064,1765435881.488370000
19968,1765435881.634510000
20064,1765435881.750260000
20064,1765435881.880770000
20064,1765435881.999130000
19968,1765435882.201200000
19968,1765435882.516320000
20064,1765435882.533070000
20064,1765435882.651330000
19968,1765435882.843520000
20064,1765435883.015510000
19968,1765435883.236520000
19968,1765435883.368460000
20064,1765435883.469360000
19968,1765435883.941520000
20064,1765435883.951940000
20064,1765435884.046190000
19968,1765435884.186460000
20064,1765435884.294810000
19872,1765435884.430370000
20064,1765435884.563390000
19872,1765435884.678880000
19968,1765435884.798980000
20064,1765435885.359960000
19968,1765435885.369540000
19968,1765435885.770710000
20064,1765435885.991220000
19968,1765435886.005930000
20064,1765435886.023030000
19968,1765435886.133140000
19968,1765435886.402480000
19968,1765435886.546080000
20064,1765435886.663400000
19968,1765435887.563690000
19968,1765435887.590530000
20064,1765435887.603050000
19968,1765435887.615240000
19968,1765435887.626100000
19968,1765435887.880050000
19968,1765435887.989770000
19968,1765435888.126220000
19968,1765435888.349890000
20064,1765435888.453730000
19968,1765435888.661390000
19968,1765435888.779590000
20064,1765435888.979470000
19968,1765435889.425020000
19104,1765435889.435860000
20832,1765435889.572020000
19968,1765435890.119470000
19968,1765435890.134870000
19968,1765435890.158020000
20064,1765435890.327960000
19968,1765435890.967140000
20064,1765435891.038690000
19968,1765435891.049380000
19968,1765435891.179950000
19968,1765435891.538400000
19968,1765435891.547940000
20064,1765435891.761680000
20064,1765435891.930560000
19968,1765435892.081130000
19968,1765435892.192500000
20064,1765435892.314760000
19968,1765435892.544850000
20064,1765435892.653780000
19968,1765435892.776800000
20064,1765435892.991050000
20064,1765435893.186020000
20064,1765435893.302480000
19968,1765435893.898880000
19968,1765435893.915610000
19968,1765435893.938620000
19776,1765435894.322170000
20064,1765435894.333000000
19872,1765435895.250590000
19968,1765435895.275550000
20064,1765435895.288240000
19968,1765435895.297950000
19968,1765435895.309100000
20064,1765435895.623680000
20064,1765435895.762270000
20064,1765435896.339360000
19680,1765435896.430920000
19968,1765435896.446080000
20064,1765435896.551380000
19968,1765435896.671880000
19968,1765435896.885610000
20064,1765435897.004210000
19968,1765435897.213560000
19968,1765435897.344990000
20064,1765435897.535180000
19968,1765435897.727000000
20064,1765435897.949090000
20064,1765435898.083760000
19968,1765435898.291070000
19968,1765435898.403690000
19968,1765435898.626090000
20064,1765435898.767480000
19968,1765435899.345830000
20064,1765435899.356330000
19968,1765435899.758270000
19968,1765435899.778990000
19968,1765435899.791690000
19968,1765435899.874750000
20064,1765435900.342270000
19968,1765435900.352370000
19968,1765435900.471140000
19968,1765435900.699130000
19968,1765435900.799110000
20064,1765435901.003670000
20064,1765435901.153320000
