Point_Count,System_Time_Unix
19968,1765435809.210390000
19968,1765435809.215460000
19968,1765435809.224140000
20064,1765435809.236870000
19968,1765435810.177530000
19968,1765435810.252730000
19968,1765435810.256920000
19584,1765435810.265490000
20064,1765435810.282240000
20064,1765435810.286920000
19968,1765435810.663780000
19968,1765435810.786530000
19968,1765435811.342590000
20064,1765435811.347660000
19968,1765435811.821540000
19968,1765435812.186840000
20064,1765435812.192030000
19968,1765435812.709570000
19968,1765435812.715660000
20064,1765435812.720740000
20064,1765435812.728900000
19968,1765435813.440770000
20832,1765435813.457670000
20064,1765435813.462760000
19968,1765435814.207980000
20064,1765435814.213090000
20064,1765435814.218670000
19680,1765435814.886460000
20064,1765435815.239780000
19968,1765435815.324800000
20064,1765435815.329410000
19968,1765435815.334010000
19968,1765435815.347940000
19872,1765435815.531410000
19968,1765435815.667720000
20064,1765435815.944750000
19968,1765435816.064470000
20064,1765435816.179170000
20064,1765435816.343780000
19968,1765435816.478990000
20064,1765435816.679950000
19968,1765435817.309100000
20064,1765435817.314690000
20064,1765435817.319300000
19968,1765435818.021950000
19872,1765435818.395270000
19968,1765435818.469130000
20064,1765435818.474460000
19872,1765435818.772670000
20064,1765435818.792650000
19872,1765435819.459090000
19872,1765435819.471290000
19968,1765435819.481020000
19872,1765435819.487170000
19104,1765435819.491770000
21024,1765435819.777010000
19968,1765435820.526480000
19872,1765435820.598800000
20064,1765435820.603830000
19968,1765435820.982010000
19968,1765435821.178390000
20064,1765435821.184510000
20064,1765435821.189320000
19968,1765435822.387440000
20064,1765435822.408550000
19968,1765435822.543190000
19968,1765435822.550820000
19968,1765435822.558040000
19968,1765435822.573280000
20064,1765435822.775340000
19968,1765435822.904830000
20832,1765435823.029550000
20064,1765435823.265080000
19968,1765435823.407460000
20064,1765435823.843350000
19968,1765435823.861340000
19968,1765435824.061580000
19968,1765435824.421540000
20064,1765435824.440990000
19968,1765435824.541300000
20064,1765435824.663750000
19968,1765435824.787430000
19968,1765435825.000160000
19968,1765435825.131810000
20064,1765435825.352300000
20064,1765435825.481890000
19968,1765435825.899410000
19968,1765435825.904490000
20064,1765435826.033110000
19872,1765435826.719760000
20064,1765435827.531810000
19968,1765435827.538450000
19872,1765435827.543500000
19968,1765435827.559770000
19968,1765435827.565830000
19968,1765435827.571890000
19872,1765435827.773880000
20064,1765435828.199560000
19968,1765435828.471650000
19968,1765435828.799440000
19968,1765435829.030600000
20064,1765435829.037230000
20064,1765435829.043360000
19968,1765435829.163990000
20064,1765435829.284030000
19968,1765435829.581910000
19968,1765435829.723640000
20064,1765435829.943230000
19968,1765435830.073740000
20064,1765435830.275680000
19968,1765435830.394910000
19872,1765435830.525200000
19968,1765435831.427040000
20064,1765435831.435800000
19968,1765435831.450130000
20064,1765435831.456240000
19968,1765435831.462370000
20064,1765435831.708170000
19968,1765435831.916090000
19968,1765435832.057640000
19584,1765435832.263000000
19968,1765435832.404880000
19968,1765435832.543590000
20064,1765435833.058210000
19968,1765435833.063270000
19968,1765435833.084050000
20064,1765435833.256190000
20064,1765435834.163640000
19680,1765435834.168730000
20256,1765435834.174910000
19968,1765435834.183520000
20064,1765435834.195730000
20064,1765435834.370880000
19968,1765435834.573360000
20064,1765435834.699000000
20064,1765435834.917280000
20064,1765435835.042400000
19680,1765435835.472080000
20064,1765435835.488790000
19872,1765435835.618170000
20064,1765435835.740770000
19968,1765435835.946770000
19968,1765435836.497550000
19968,1765435836.573540000
19968,1765435836.579120000
20064,1765435836.887800000
19968,1765435836.902660000
19968,1765435837.235770000
19968,1765435837.241310000
19968,1765435837.354520000
20064,1765435837.479060000
19872,1765435837.776290000
20064,1765435837.898830000
19968,1765435838.035140000
19968,1765435838.254560000
19968,1765435838.825920000
19968,1765435838.834080000
20064,1765435839.235460000
19968,1765435839.242120000
19968,1765435840.030680000
19968,1765435840.037160000
19968,1765435840.048290000
19968,1765435840.446430000
20064,1765435840.451520000
19968,1765435840.814850000
20064,1765435840.820810000
19968,1765435840.825380000
19968,1765435840.933510000
19968,1765435841.141130000
20064,1765435841.285110000
19968,1765435841.413480000
20064,1765435841.647610000
20064,1765435841.765940000
20064,1765435841.980870000
19968,1765435842.103370000
19968,1765435842.238610000
20064,1765435842.373590000
19968,1765435842.592840000
20064,1765435842.746160000
20064,1765435842.880410000
19968,1765435843.087860000
19968,1765435843.225160000
20064,1765435843.447010000
19968,1765435843.919830000
20064,1765435843.925350000
19968,1765435843.932680000
19968,1765435844.134260000
19968,1765435844.255030000
19968,1765435844.456190000
19776,1765435845.036900000
20064,1765435845.045250000
19968,1765435845.058600000
20064,1765435845.246500000
19968,1765435845.365180000
19872,1765435845.782420000
20064,1765435845.787450000
19968,1765435845.906330000
