Frame 262: Points: 19968 | Time: 1763886768312487633 ns
Frame 263: Points: 19968 | Time: 1763886768512270360 ns
Frame 264: Points: 19872 | Time: 1763886768712141308 ns
Frame 265: Points: 20160 | Time: 1763886768815415052 ns
Frame 266: Points: 19392 | Time: 1763886768912128107 ns
Frame 267: Points: 19872 | Time: 1763886769112289756 ns
Frame 268: Points: 19872 | Time: 1763886769312054575 ns
Frame 269: Points: 19968 | Time: 1763886769411509201 ns
Frame 270: Points: 19968 | Time: 1763886769511541637 ns
Frame 271: Points: 20064 | Time: 1763886769712341245 ns
Frame 272: Points: 19968 | Time: 1763886769812294960 ns
Frame 273: Points: 20064 | Time: 1763886769912153027 ns
Frame 274: Points: 20064 | Time: 1763886770112072197 ns
Frame 275: Points: 20064 | Time: 1763886770312235939 ns
Frame 276: Points: 19968 | Time: 1763886770412363152 ns
Frame 277: Points: 20064 | Time: 1763886770612077842 ns
Frame 278: Points: 19968 | Time: 1763886770712417998 ns
Frame 279: Points: 19968 | Time: 1763886771012400641 ns
Frame 280: Points: 19968 | Time: 1763886771112314430 ns
Frame 281: Points: 19968 | Time: 1763886771212299478 ns
Frame 282: Points: 20064 | Time: 1763886771312177342 ns
Frame 283: Points: 19968 | Time: 1763886771512143752 ns
Frame 284: Points: 20064 | Time: 1763886771712248402 ns
Frame 285: Points: 19872 | Time: 1763886771812325227 ns
Frame 286: Points: 19872 | Time: 1763886772012202934 ns
Frame 287: Points: 19872 | Time: 1763886772111607153 ns
Frame 288: Points: 19968 | Time: 1763886772311455194 ns
Frame 289: Points: 19392 | Time: 1763886772411400798 ns
Frame 290: Points: 20064 | Time: 1763886772612076777 ns
Frame 291: Points: 19584 | Time: 1763886772712342841 ns
Frame 292: Points: 19872 | Time: 1763886772912014253 ns
Frame 293: Points: 19680 | Time: 1763886773011603860 ns
Frame 294: Points: 19776 | Time: 1763886773212063174 ns
Frame 295: Points: 20064 | Time: 1763886773412219972 ns
Frame 296: Points: 19968 | Time: 1763886773512316685 ns
Frame 297: Points: 20064 | Time: 1763886773612212345 ns
Frame 298: Points: 19872 | Time: 1763886773812068793 ns
Frame 299: Points: 19968 | Time: 1763886774012361442 ns
Frame 300: Points: 19872 | Time: 1763886774212308112 ns
Frame 301: Points: 20064 | Time: 1763886774312153420 ns
Frame 302: Points: 20064 | Time: 1763886774512259385 ns
Frame 303: Points: 20064 | Time: 1763886774712090352 ns
Frame 304: Points: 19968 | Time: 1763886774812224732 ns
Frame 305: Points: 19968 | Time: 1763886774912106021 ns
Frame 306: Points: 20064 | Time: 1763886775112133394 ns
Frame 307: Points: 19488 | Time: 1763886775212266219 ns
Frame 308: Points: 19968 | Time: 1763886775412281536 ns
Frame 309: Points: 19968 | Time: 1763886775612119152 ns
Frame 310: Points: 19968 | Time: 1763886775812246154 ns
Frame 311: Points: 19968 | Time: 1763886775912315719 ns
Frame 312: Points: 19968 | Time: 1763886776111511025 ns
Frame 313: Points: 19776 | Time: 1763886776211330426 ns
Frame 314: Points: 20352 | Time: 1763886776311435936 ns
Frame 315: Points: 19968 | Time: 1763886776412258588 ns
Frame 316: Points: 19968 | Time: 1763886776612276628 ns
Frame 317: Points: 19872 | Time: 1763886776712279990 ns
Frame 318: Points: 19968 | Time: 1763886776912030106 ns
Frame 319: Points: 20064 | Time: 1763886777011499343 ns
Frame 320: Points: 19968 | Time: 1763886777112219275 ns
Frame 321: Points: 19968 | Time: 1763886777412213640 ns
Frame 322: Points: 19296 | Time: 1763886777512153429 ns
Frame 323: Points: 20640 | Time: 1763886777609030408 ns
Frame 324: Points: 19968 | Time: 1763886777812057925 ns
Frame 325: Points: 20064 | Time: 1763886777911538662 ns
Frame 326: Points: 19968 | Time: 1763886778112188364 ns
Frame 327: Points: 20064 | Time: 1763886778211507398 ns
Frame 328: Points: 20064 | Time: 1763886778412095934 ns
Frame 329: Points: 19968 | Time: 1763886778512287202 ns
Frame 330: Points: 19968 | Time: 1763886778612268583 ns
Frame 331: Points: 20064 | Time: 1763886778712168077 ns
Frame 332: Points: 19968 | Time: 1763886778912287097 ns
Frame 333: Points: 19968 | Time: 1763886779012127405 ns
Frame 334: Points: 20064 | Time: 1763886779211426932 ns
Frame 335: Points: 19968 | Time: 1763886779312115567 ns
Frame 336: Points: 19968 | Time: 1763886779511599889 ns
Frame 337: Points: 19968 | Time: 1763886779611645177 ns
Frame 338: Points: 19968 | Time: 1763886779912246483 ns
Frame 339: Points: 19968 | Time: 1763886780012255012 ns
Frame 340: Points: 20064 | Time: 1763886780112281412 ns
Frame 341: Points: 20064 | Time: 1763886780212310107 ns
Frame 342: Points: 19968 | Time: 1763886780512283103 ns
Frame 343: Points: 19968 | Time: 1763886780612412187 ns
Frame 344: Points: 19968 | Time: 1763886780714078296 ns
Frame 345: Points: 20064 | Time: 1763886780811337291 ns
Frame 346: Points: 20064 | Time: 1763886781012282268 ns
Frame 347: Points: 20064 | Time: 1763886781212199587 ns
Frame 348: Points: 19584 | Time: 1763886781312312078 ns
Frame 349: Points: 19968 | Time: 1763886781512160379 ns
Frame 350: Points: 19968 | Time: 1763886781612296148 ns
Frame 351: Points: 19872 | Time: 1763886781812340595 ns
Frame 352: Points: 19968 | Time: 1763886782012459245 ns
Frame 353: Points: 19968 | Time: 1763886782112417479 ns
Frame 354: Points: 19968 | Time: 1763886782312128669 ns
Frame 355: Points: 20064 | Time: 1763886782411601832 ns
Frame 356: Points: 20064 | Time: 1763886782512209098 ns
Frame 357: Points: 19968 | Time: 1763886782811536210 ns
Frame 358: Points: 19968 | Time: 1763886782911528313 ns
Frame 359: Points: 19968 | Time: 1763886783011751341 ns
Frame 360: Points: 19968 | Time: 1763886783111530224 ns
Frame 361: Points: 19968 | Time: 1763886783311493486 ns
Frame 362: Points: 20064 | Time: 1763886783511460175 ns
Frame 363: Points: 19968 | Time: 1763886783711435604 ns
Frame 364: Points: 20160 | Time: 1763886783811302357 ns
Frame 365: Points: 19968 | Time: 1763886784012261686 ns
Frame 366: Points: 19968 | Time: 1763886784112359456 ns
Frame 367: Points: 19968 | Time: 1763886784312183571 ns
Frame 368: Points: 19968 | Time: 1763886784412296452 ns
Frame 369: Points: 20064 | Time: 1763886784512181797 ns
Frame 370: Points: 19968 | Time: 1763886784712251614 ns
Frame 371: Points: 20064 | Time: 1763886784812291199 ns
Frame 372: Points: 20064 | Time: 1763886785011305784 ns
Frame 373: Points: 19968 | Time: 1763886785212225965 ns
Frame 374: Points: 19968 | Time: 1763886785312244272 ns
Frame 375: Points: 19968 | Time: 1763886785512188795 ns
Frame 376: Points: 19968 | Time: 1763886785612170361 ns
Frame 377: Points: 20064 | Time: 1763886785711556488 ns
Frame 378: Points: 19872 | Time: 1763886785812184161 ns
Frame 379: Points: 19968 | Time: 1763886786112173601 ns
Frame 380: Points: 19968 | Time: 1763886786412217022 ns
Frame 381: Points: 19968 | Time: 1763886786512334662 ns
Frame 382: Points: 20064 | Time: 1763886786611472142 ns
Frame 383: Points: 19776 | Time: 1763886786812115807 ns
Frame 384: Points: 20256 | Time: 1763886786911989116 ns
Frame 385: Points: 20064 | Time: 1763886787112111229 ns
Frame 386: Points: 19872 | Time: 1763886787312225732 ns
Frame 387: Points: 20064 | Time: 1763886787411619618 ns
Frame 388: Points: 20064 | Time: 1763886787511512148 ns
Frame 389: Points: 20064 | Time: 1763886787712156109 ns
Frame 390: Points: 19968 | Time: 1763886787812324323 ns
Frame 391: Points: 19392 | Time: 1763886787912206446 ns
Frame 392: Points: 20064 | Time: 1763886788112126190 ns
Frame 393: Points: 19680 | Time: 1763886788212253719 ns
Frame 394: Points: 19968 | Time: 1763886788411467636 ns
Frame 395: Points: 19968 | Time: 1763886788612227800 ns
Frame 396: Points: 20064 | Time: 1763886788711505798 ns
Frame 397: Points: 20160 | Time: 1763886788911524468 ns
Frame 398: Points: 19968 | Time: 1763886789012362343 ns
Frame 399: Points: 19968 | Time: 1763886789112200300 ns
Frame 400: Points: 20064 | Time: 1763886789311570956 ns
Frame 401: Points: 19968 | Time: 1763886789512100400 ns
Frame 402: Points: 19968 | Time: 1763886789711704629 ns
Frame 403: Points: 19872 | Time: 1763886789811676121 ns
Frame 404: Points: 20448 | Time: 1763886790016641272 ns
Frame 405: Points: 20064 | Time: 1763886790112257354 ns
Frame 406: Points: 19968 | Time: 1763886790212392882 ns
Frame 407: Points: 20064 | Time: 1763886790411732409 ns
Frame 408: Points: 19968 | Time: 1763886790512325990 ns
Frame 409: Points: 20064 | Time: 1763886790712232438 ns
Frame 410: Points: 19872 | Time: 1763886790812397930 ns
Frame 411: Points: 20064 | Time: 1763886791012210027 ns
Frame 412: Points: 20064 | Time: 1763886791112298260 ns
Frame 413: Points: 19968 | Time: 1763886791311475492 ns
Frame 414: Points: 20064 | Time: 1763886791411505891 ns
Frame 415: Points: 19872 | Time: 1763886791612258945 ns
Frame 416: Points: 19968 | Time: 1763886791812181949 ns
Frame 417: Points: 20064 | Time: 1763886791912290311 ns
Frame 418: Points: 20064 | Time: 1763886792111501543 ns
Frame 419: Points: 19968 | Time: 1763886792212506620 ns
Frame 420: Points: 20064 | Time: 1763886792311506769 ns
Frame 421: Points: 20064 | Time: 1763886792512437932 ns
Frame 422: Points: 19968 | Time: 1763886792612315851 ns
Frame 423: Points: 20064 | Time: 1763886792811493954 ns
Frame 424: Points: 20064 | Time: 1763886793011615493 ns
Frame 425: Points: 19872 | Time: 1763886793112466776 ns
Frame 426: Points: 20064 | Time: 1763886793311516749 ns
Frame 427: Points: 19968 | Time: 1763886793512240859 ns
Frame 428: Points: 19968 | Time: 1763886793612285888 ns
Frame 429: Points: 20064 | Time: 1763886793812301910 ns
Frame 430: Points: 19968 | Time: 1763886794013387109 ns
Frame 431: Points: 20064 | Time: 1763886794112240221 ns
Frame 432: Points: 20064 | Time: 1763886794312190651 ns
Frame 433: Points: 19968 | Time: 1763886794512303136 ns
Frame 434: Points: 19968 | Time: 1763886794712531749 ns
Frame 435: Points: 19968 | Time: 1763886794812247577 ns
Frame 436: Points: 20064 | Time: 1763886795011552308 ns
Frame 437: Points: 19968 | Time: 1763886795112316054 ns
Frame 438: Points: 19968 | Time: 1763886795212241455 ns
Frame 439: Points: 20064 | Time: 1763886795411474538 ns
Frame 440: Points: 19968 | Time: 1763886795512258414 ns
Frame 441: Points: 19968 | Time: 1763886795611651652 ns
Frame 442: Points: 19968 | Time: 1763886795812180559 ns
Frame 443: Points: 20064 | Time: 1763886795911585297 ns
Frame 444: Points: 19968 | Time: 1763886796112190314 ns
Frame 445: Points: 20064 | Time: 1763886796211535868 ns
Frame 446: Points: 19968 | Time: 1763886796412197533 ns
Frame 447: Points: 20064 | Time: 1763886796511625808 ns
Frame 448: Points: 19872 | Time: 1763886796612276925 ns
Frame 449: Points: 19968 | Time: 1763886796811733711 ns
Frame 450: Points: 20064 | Time: 1763886796911524390 ns
Frame 451: Points: 20160 | Time: 1763886797111402469 ns
Frame 452: Points: 19968 | Time: 1763886797212279529 ns
Frame 453: Points: 19968 | Time: 1763886797312295151 ns
Frame 454: Points: 18816 | Time: 1763886797512264285 ns
Frame 455: Points: 20064 | Time: 1763886797711558849 ns
Frame 456: Points: 19968 | Time: 1763886797812320651 ns
Frame 457: Points: 19968 | Time: 1763886798012249859 ns
Frame 458: Points: 19776 | Time: 1763886798112820366 ns
Frame 459: Points: 20064 | Time: 1763886798311520120 ns
Frame 460: Points: 20064 | Time: 1763886798512223526 ns
Frame 461: Points: 19968 | Time: 1763886798612410184 ns
Frame 462: Points: 19968 | Time: 1763886798812173949 ns
Frame 463: Points: 19968 | Time: 1763886798911653224 ns
Frame 464: Points: 20064 | Time: 1763886799111539580 ns
Frame 465: Points: 20448 | Time: 1763886799312215560 ns
Frame 466: Points: 19968 | Time: 1763886799411577225 ns
Frame 467: Points: 20064 | Time: 1763886799611678487 ns
Frame 468: Points: 19968 | Time: 1763886799712524343 ns
Frame 469: Points: 19872 | Time: 1763886799812422559 ns
Frame 470: Points: 20064 | Time: 1763886800011561755 ns
Frame 471: Points: 19872 | Time: 1763886800112316205 ns
Frame 472: Points: 20064 | Time: 1763886800211406778 ns
Frame 473: Points: 19968 | Time: 1763886800412357682 ns
Frame 474: Points: 20064 | Time: 1763886800511502978 ns
Frame 475: Points: 19776 | Time: 1763886800612386131 ns
Frame 476: Points: 19968 | Time: 1763886800812325042 ns
Frame 477: Points: 19968 | Time: 1763886800912436960 ns
Frame 478: Points: 20064 | Time: 1763886801012337324 ns
Frame 479: Points: 20064 | Time: 1763886801211457057 ns
Frame 480: Points: 19968 | Time: 1763886801312473134 ns
Frame 481: Points: 19968 | Time: 1763886801411515542 ns
Frame 482: Points: 19968 | Time: 1763886801612253225 ns
